Name,BirthDate,BirthCity,BirthStateProvince,BirthCountry,PrimaryField,MainContribution
Alexander Stewart,1930-07-10,Cairo,,Egypt,Retail Strategy,Cross-Cultural Consumer Behavior Analysis
Jacob Adams,1930-02-04,London,,United Kingdom,Innovation Strategy,Social Media Influence and Word-of-Mouth Propagation
Christine Anderson,1938-02-13,Zurich,,Switzerland,Product Marketing,Pricing Elasticity and Consumer Choice Architecture
Paul Ross,1959-08-13,Toronto,Ontario,Canada,Luxury Brand Strategy,Digital Attribution and Customer Lifetime Value Modeling
Shirley Allen,1970-10-09,London,,United Kingdom,Service Marketing,Behavioral Nudges in Consumer Choice
Justin Myers,1921-04-20,Sydney,New South Wales,Australia,Marketing Analytics,Empirical Generalizations in Marketing
Samantha Gutierrez,1916-12-22,Seoul,,South Korea,Customer Psychology,Digital Attribution and Customer Lifetime Value Modeling
Sandra Harris,1981-02-14,Amsterdam,,Netherlands,Digital Marketing Research,Empirical Generalizations in Marketing
Stephanie Davis,1928-11-01,Berlin,,Germany,Service Marketing,Omnichannel Retail Strategy and Customer Experience
Nicholas Turner,1974-10-23,London,,United Kingdom,Innovation Strategy,Consumer Decision Journey Modelling
Ryan Brown,1980-03-13,São Paulo,São Paulo,Brazil,Behavioral Economics,Omnichannel Retail Strategy and Customer Experience
Ryan Young,1974-04-02,Amsterdam,,Netherlands,Innovation Strategy,Empirical Generalizations in Marketing
Brian Cox,1926-03-17,Melbourne,Victoria,Australia,Service Marketing,Brand Personality Scale and Self-Congruity Theory
Sarah Gray,1905-03-25,Paris,,France,Brand Strategy,Luxury Brand Scarcity and Prestige Positioning
Scott Moore,1933-03-17,Melbourne,Victoria,Australia,Marketing Analytics,Omnichannel Retail Strategy and Customer Experience
Cynthia Robinson,1971-12-14,Seoul,,South Korea,Marketing Science,Omnichannel Retail Strategy and Customer Experience
Jason Carter,1949-04-07,Toronto,Ontario,Canada,Digital Marketing Research,Cross-Cultural Consumer Behavior Analysis
Timothy Morales,1902-04-14,Amsterdam,,Netherlands,Innovation Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Paul Gray,1908-06-16,London,,United Kingdom,Marketing Science,Luxury Brand Scarcity and Prestige Positioning
Margaret Richardson,1980-08-21,Singapore,,Singapore,Marketing Analytics,Behavioral Nudges in Consumer Choice
Rachel Green,1931-11-13,New York City,New York,United States,Advertising Strategy,Pricing Elasticity and Consumer Choice Architecture
Thomas Martinez,1950-08-09,Seoul,,South Korea,Digital Marketing Research,Pricing Elasticity and Consumer Choice Architecture
Patrick Wright,1978-06-22,Buenos Aires,,Argentina,Consumer Research,B2B Relationship Marketing Frameworks
Benjamin Wright,1901-01-01,São Paulo,São Paulo,Brazil,Pricing Strategy,Behavioral Nudges in Consumer Choice
Eric Richardson,1925-06-07,London,,United Kingdom,Advertising Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Emma Carter,1914-02-10,Melbourne,Victoria,Australia,Product Marketing,Service Quality and Customer Satisfaction Metrics
Deborah Murphy,1966-11-06,São Paulo,São Paulo,Brazil,Advertising Strategy,Pricing Elasticity and Consumer Choice Architecture
Rachel Wright,1940-02-12,Mumbai,Maharashtra,India,Marketing Science,Consumer Decision Journey Modelling
Katherine Cook,1983-11-07,Chicago,Illinois,United States,Academic Marketing Research,Brand Personality Scale and Self-Congruity Theory
Michael Miller,1957-06-26,Toronto,Ontario,Canada,Market Research,Innovation Diffusion and New Product Adoption Models
Mark Cox,1981-06-12,Melbourne,Victoria,Australia,Pricing Strategy,Pricing Elasticity and Consumer Choice Architecture
Alexander Perez,1954-04-13,Mumbai,Maharashtra,India,Branding Consultancy,Innovation Diffusion and New Product Adoption Models
Amy Reed,1917-03-22,Paris,,France,Market Research,Luxury Brand Scarcity and Prestige Positioning
John Walker,1973-03-03,Amsterdam,,Netherlands,Consumer Research,Retail Shopper Psychology and In-Store Decision Dynamics
Stephanie Phillips,1984-10-24,Buenos Aires,,Argentina,Marketing Strategy,Empirical Generalizations in Marketing
Katherine Thompson,1959-08-18,Seoul,,South Korea,Branding Consultancy,Brand Personality Scale and Self-Congruity Theory
Larry Powell,1965-02-04,Berlin,,Germany,Behavioral Economics,B2B Relationship Marketing Frameworks
Jessica Anderson,1902-02-08,Amsterdam,,Netherlands,Consumer Research,Neuromarketing and Emotional Engagement Measurement
Edward Garcia,1941-12-14,Zurich,,Switzerland,Consumer Behavior,Retail Shopper Psychology and In-Store Decision Dynamics
Justin Bailey,1937-09-22,Amsterdam,,Netherlands,Innovation Strategy,Service Quality and Customer Satisfaction Metrics
Nicole Gray,1901-07-06,Seoul,,South Korea,Consumer Behavior,Neuromarketing and Emotional Engagement Measurement
David Ortiz,1939-12-24,Sydney,New South Wales,Australia,Pricing Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Jack King,1910-10-03,Zurich,,Switzerland,Luxury Brand Strategy,B2B Relationship Marketing Frameworks
Christine Wilson,1975-09-01,Paris,,France,Academic Marketing Research,Service Quality and Customer Satisfaction Metrics
Gregory Ward,1900-09-22,Buenos Aires,,Argentina,Retail Strategy,Cross-Cultural Consumer Behavior Analysis
Jack Ward,1936-01-17,Melbourne,Victoria,Australia,Service Marketing,Omnichannel Retail Strategy and Customer Experience
William Murphy,1919-02-14,London,,United Kingdom,Market Research,Omnichannel Retail Strategy and Customer Experience
Justin Thompson,1925-01-23,Toronto,Ontario,Canada,Advertising Strategy,Cross-Cultural Consumer Behavior Analysis
Sarah Bailey,1932-01-19,Zurich,,Switzerland,Digital Marketing Research,B2B Relationship Marketing Frameworks
Kenneth Parker,1942-02-25,Singapore,,Singapore,Behavioral Economics,Omnichannel Retail Strategy and Customer Experience
Barbara Rivera,1949-07-12,Berlin,,Germany,Academic Marketing Research,Retail Shopper Psychology and In-Store Decision Dynamics
Alexander Diaz,1979-02-10,Mumbai,Maharashtra,India,Marketing Analytics,Cross-Cultural Consumer Behavior Analysis
James Garcia,1928-06-05,Amsterdam,,Netherlands,Service Marketing,Consumer Decision Journey Modelling
Sandra Edwards,1942-10-18,Singapore,,Singapore,Product Marketing,B2B Relationship Marketing Frameworks
Thomas Roberts,1975-11-08,Zurich,,Switzerland,Brand Management,Brand Equity Valuation Frameworks
James Perez,1930-05-16,Paris,,France,Market Research,B2B Relationship Marketing Frameworks
Lisa Patel,1965-02-06,São Paulo,São Paulo,Brazil,Consumer Research,Pricing Elasticity and Consumer Choice Architecture
Nicole Gomez,1912-09-21,Milan,,Italy,Market Research,Luxury Brand Scarcity and Prestige Positioning
Emily Powell,1903-06-19,Berlin,,Germany,Consumer Behavior,Consumer Decision Journey Modelling
Anthony Sanchez,1982-11-01,Tokyo,,Japan,Service Marketing,Brand Equity Valuation Frameworks
Stephanie Kelly,1914-05-19,New York City,New York,United States,Product Marketing,Brand Personality Scale and Self-Congruity Theory
Stephen Campbell,1910-03-08,Zurich,,Switzerland,Innovation Strategy,B2B Relationship Marketing Frameworks
Ashley Carter,1908-03-21,Mumbai,Maharashtra,India,Luxury Brand Strategy,Consumer Decision Journey Modelling
Michelle Walker,1925-09-12,Paris,,France,Consumer Behavior,Brand Personality Scale and Self-Congruity Theory
Justin Brooks,1943-04-15,Chicago,Illinois,United States,Luxury Brand Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Michelle Carter,1942-05-23,Chicago,Illinois,United States,Luxury Brand Strategy,Omnichannel Retail Strategy and Customer Experience
Donald Ramirez,1935-11-19,Amsterdam,,Netherlands,Brand Management,Cross-Cultural Consumer Behavior Analysis
Anthony Ruiz,1918-02-14,Sydney,New South Wales,Australia,Luxury Brand Strategy,Cross-Cultural Consumer Behavior Analysis
Patricia Robinson,1928-12-03,Mumbai,Maharashtra,India,Luxury Brand Strategy,B2B Relationship Marketing Frameworks
Larry Allen,1917-02-17,Milan,,Italy,Brand Management,B2B Relationship Marketing Frameworks
Nicole Long,1974-07-12,Cairo,,Egypt,Behavioral Economics,Social Media Influence and Word-of-Mouth Propagation
Gary Kelly,1962-08-17,Cairo,,Egypt,Customer Psychology,Service Quality and Customer Satisfaction Metrics
Larry Gray,1967-06-07,New York City,New York,United States,Digital Marketing Research,Service Quality and Customer Satisfaction Metrics
Alexander Roberts,1912-07-22,São Paulo,São Paulo,Brazil,Market Research,Omnichannel Retail Strategy and Customer Experience
Christopher Price,1941-08-24,Stockholm,,Sweden,Product Marketing,B2B Relationship Marketing Frameworks
Samantha Flores,1967-02-24,Cape Town,,South Africa,Brand Management,Innovation Diffusion and New Product Adoption Models
Brandon Kim,1917-03-04,Cairo,,Egypt,Consumer Research,Retail Shopper Psychology and In-Store Decision Dynamics
Donna Roberts,1948-03-12,London,,United Kingdom,Consumer Research,Retail Shopper Psychology and In-Store Decision Dynamics
Kevin Wood,1921-05-15,Toronto,Ontario,Canada,Behavioral Economics,Brand Personality Scale and Self-Congruity Theory
Daniel Wilson,1972-09-25,London,,United Kingdom,Brand Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Helen Lee,1966-10-22,Tokyo,,Japan,Market Research,Brand Equity Valuation Frameworks
Deborah Clark,1959-03-04,Berlin,,Germany,Customer Psychology,Brand Personality Scale and Self-Congruity Theory
Brandon Hill,1935-03-09,Mumbai,Maharashtra,India,Consumer Research,Luxury Brand Scarcity and Prestige Positioning
Michelle Baker,1967-01-28,London,,United Kingdom,Marketing Strategy,Innovation Diffusion and New Product Adoption Models
Jason Wright,1920-08-06,Mumbai,Maharashtra,India,Marketing Analytics,Neuromarketing and Emotional Engagement Measurement
Raymond Stewart,1902-06-06,London,,United Kingdom,Digital Marketing Research,Consumer Decision Journey Modelling
Kathleen Nguyen,1929-04-08,Melbourne,Victoria,Australia,Brand Management,Cross-Cultural Consumer Behavior Analysis
Rebecca Myers,1930-09-23,Stockholm,,Sweden,Customer Psychology,Behavioral Nudges in Consumer Choice
Jacob Edwards,1915-12-17,Stockholm,,Sweden,Digital Marketing Research,Service Quality and Customer Satisfaction Metrics
Angela Williams,1915-07-28,Cape Town,,South Africa,Marketing Science,Digital Attribution and Customer Lifetime Value Modeling
David Gray,1964-09-21,Buenos Aires,,Argentina,Advertising Strategy,Digital Attribution and Customer Lifetime Value Modeling
Amy Howard,1931-01-21,Stockholm,,Sweden,Digital Marketing Research,Digital Attribution and Customer Lifetime Value Modeling
Janet Thomas,1935-01-23,Singapore,,Singapore,Pricing Strategy,Consumer Decision Journey Modelling
Helen Johnson,1972-01-11,Toronto,Ontario,Canada,Academic Marketing Research,Behavioral Nudges in Consumer Choice
George Lewis,1967-02-23,Berlin,,Germany,Brand Strategy,Digital Attribution and Customer Lifetime Value Modeling
Gregory Moore,1959-05-20,Cairo,,Egypt,Digital Marketing Research,Omnichannel Retail Strategy and Customer Experience
Jerry Hall,1937-02-13,Toronto,Ontario,Canada,Customer Psychology,Behavioral Nudges in Consumer Choice
Sharon Miller,1966-07-20,Zurich,,Switzerland,Market Research,Omnichannel Retail Strategy and Customer Experience
Kevin Nguyen,1965-11-02,Toronto,Ontario,Canada,Marketing Analytics,Behavioral Nudges in Consumer Choice
Kenneth James,1909-09-02,New York City,New York,United States,Brand Management,Omnichannel Retail Strategy and Customer Experience
Mark Ortiz,1979-06-14,Buenos Aires,,Argentina,Brand Strategy,Neuromarketing and Emotional Engagement Measurement
Samuel Miller,1924-05-02,Mumbai,Maharashtra,India,Consumer Behavior,Empirical Generalizations in Marketing
Ronald Brooks,1967-12-12,Milan,,Italy,Innovation Strategy,Empirical Generalizations in Marketing
Andrew Myers,1959-06-11,London,,United Kingdom,Branding Consultancy,Omnichannel Retail Strategy and Customer Experience
David Bennett,1933-10-25,London,,United Kingdom,Retail Strategy,Consumer Decision Journey Modelling
Gary Collins,1978-09-23,Cape Town,,South Africa,Market Research,Neuromarketing and Emotional Engagement Measurement
Kevin Ramos,1927-03-07,Stockholm,,Sweden,Luxury Brand Strategy,Innovation Diffusion and New Product Adoption Models
Carolyn Brown,1903-07-08,Seoul,,South Korea,Marketing Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Patricia Hill,1937-07-18,Paris,,France,Academic Marketing Research,Omnichannel Retail Strategy and Customer Experience
Lisa Jenkins,1906-11-28,Zurich,,Switzerland,Behavioral Economics,Cross-Cultural Consumer Behavior Analysis
Anna Jones,1954-02-27,Berlin,,Germany,Service Marketing,Cross-Cultural Consumer Behavior Analysis
Christopher Hughes,1957-08-07,Paris,,France,Consumer Research,Social Media Influence and Word-of-Mouth Propagation
Helen Castillo,1984-05-18,Paris,,France,Pricing Strategy,Brand Personality Scale and Self-Congruity Theory
Larry Wood,1959-11-21,Buenos Aires,,Argentina,Brand Management,Consumer Decision Journey Modelling
Patricia James,1951-06-10,Cairo,,Egypt,Pricing Strategy,Brand Equity Valuation Frameworks
Margaret Martin,1908-09-01,London,,United Kingdom,Luxury Brand Strategy,Social Media Influence and Word-of-Mouth Propagation
Carolyn Wilson,1957-12-08,Chicago,Illinois,United States,Consumer Behavior,Service Quality and Customer Satisfaction Metrics
Sarah Ruiz,1971-01-15,Seoul,,South Korea,Pricing Strategy,Neuromarketing and Emotional Engagement Measurement
Donna Wright,1943-01-23,Paris,,France,Marketing Science,Social Media Influence and Word-of-Mouth Propagation
Amanda Hughes,1942-01-13,Cape Town,,South Africa,Brand Strategy,Service Quality and Customer Satisfaction Metrics
Paul Jones,1919-05-08,Zurich,,Switzerland,Brand Management,Luxury Brand Scarcity and Prestige Positioning
Patricia Moore,1982-07-19,Cape Town,,South Africa,Retail Strategy,B2B Relationship Marketing Frameworks
David Jones,1907-10-06,Amsterdam,,Netherlands,Luxury Brand Strategy,Innovation Diffusion and New Product Adoption Models
Kathleen Ross,1907-08-25,São Paulo,São Paulo,Brazil,Consumer Behavior,Omnichannel Retail Strategy and Customer Experience
Tyler Cooper,1948-04-04,Zurich,,Switzerland,Market Research,Pricing Elasticity and Consumer Choice Architecture
Nicole Cook,1909-05-04,Melbourne,Victoria,Australia,Marketing Science,Consumer Decision Journey Modelling
Anthony Parker,1931-12-02,Chicago,Illinois,United States,Customer Psychology,Omnichannel Retail Strategy and Customer Experience
Paul Nelson,1917-07-09,Mumbai,Maharashtra,India,Innovation Strategy,Innovation Diffusion and New Product Adoption Models
Nicole Harris,1929-04-21,Melbourne,Victoria,Australia,Branding Consultancy,Behavioral Nudges in Consumer Choice
Kevin Jenkins,1931-07-07,Seoul,,South Korea,Digital Marketing Research,Pricing Elasticity and Consumer Choice Architecture
Jack Lee,1920-05-08,Zurich,,Switzerland,Marketing Science,Behavioral Nudges in Consumer Choice
Richard Sanchez,1974-06-22,Chicago,Illinois,United States,Pricing Strategy,Consumer Decision Journey Modelling
Robert Young,1984-04-27,Singapore,,Singapore,Service Marketing,Neuromarketing and Emotional Engagement Measurement
George Price,1943-06-11,Paris,,France,Consumer Research,Service Quality and Customer Satisfaction Metrics
John Rogers,1918-07-07,Melbourne,Victoria,Australia,Service Marketing,Pricing Elasticity and Consumer Choice Architecture
Thomas Stewart,1915-08-01,Melbourne,Victoria,Australia,Marketing Strategy,Neuromarketing and Emotional Engagement Measurement
Sandra Brown,1963-10-02,Chicago,Illinois,United States,Customer Psychology,Cross-Cultural Consumer Behavior Analysis
Patrick Sanders,1926-02-09,Stockholm,,Sweden,Pricing Strategy,Pricing Elasticity and Consumer Choice Architecture
Larry Ruiz,1957-06-12,Seoul,,South Korea,Innovation Strategy,Behavioral Nudges in Consumer Choice
Jonathan Parker,1919-11-16,Cape Town,,South Africa,Advertising Strategy,Service Quality and Customer Satisfaction Metrics
Shirley Stewart,1903-04-20,Cairo,,Egypt,Brand Strategy,B2B Relationship Marketing Frameworks
Justin Mendoza,1953-08-07,Cairo,,Egypt,Advertising Strategy,Behavioral Nudges in Consumer Choice
Michael Morales,1956-04-17,Tokyo,,Japan,Brand Management,Social Media Influence and Word-of-Mouth Propagation
Mark Williams,1979-10-23,Buenos Aires,,Argentina,Brand Management,Service Quality and Customer Satisfaction Metrics
Timothy Torres,1929-02-19,Cape Town,,South Africa,Product Marketing,Omnichannel Retail Strategy and Customer Experience
Shirley Harris,1923-12-26,Berlin,,Germany,Brand Management,Brand Personality Scale and Self-Congruity Theory
Alexander Perry,1954-01-23,New York City,New York,United States,Marketing Analytics,Omnichannel Retail Strategy and Customer Experience
Katherine Roberts,1974-09-28,Milan,,Italy,Consumer Research,Brand Equity Valuation Frameworks
Michelle Brown,1919-11-15,Berlin,,Germany,Service Marketing,Behavioral Nudges in Consumer Choice
Deborah Rodriguez,1915-05-25,Buenos Aires,,Argentina,Customer Psychology,Consumer Decision Journey Modelling
John Richardson,1969-01-27,Milan,,Italy,Branding Consultancy,Cross-Cultural Consumer Behavior Analysis
Joshua Hall,1934-10-19,Paris,,France,Marketing Strategy,Empirical Generalizations in Marketing
Jerry White,1973-05-04,Berlin,,Germany,Brand Management,Behavioral Nudges in Consumer Choice
Brandon Nguyen,1900-08-25,Sydney,New South Wales,Australia,Advertising Strategy,Pricing Elasticity and Consumer Choice Architecture
Linda Carter,1959-12-28,Buenos Aires,,Argentina,Brand Management,Cross-Cultural Consumer Behavior Analysis
Jacob Clark,1929-06-28,Tokyo,,Japan,Brand Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Katherine Thomas,1909-06-10,Milan,,Italy,Advertising Strategy,Innovation Diffusion and New Product Adoption Models
Dorothy Mitchell,1955-11-20,Singapore,,Singapore,Retail Strategy,Pricing Elasticity and Consumer Choice Architecture
Kevin Peterson,1949-01-27,Tokyo,,Japan,Advertising Strategy,Omnichannel Retail Strategy and Customer Experience
Donald James,1931-08-11,Buenos Aires,,Argentina,Service Marketing,Brand Personality Scale and Self-Congruity Theory
Carol White,1941-10-12,Zurich,,Switzerland,Marketing Strategy,B2B Relationship Marketing Frameworks
Kevin James,1968-03-23,Paris,,France,Product Marketing,Neuromarketing and Emotional Engagement Measurement
Nicole Mendoza,1911-09-09,New York City,New York,United States,Marketing Analytics,Cross-Cultural Consumer Behavior Analysis
Emily Kelly,1932-01-24,London,,United Kingdom,Retail Strategy,Pricing Elasticity and Consumer Choice Architecture
Brandon Ruiz,1948-01-02,Berlin,,Germany,Innovation Strategy,Digital Attribution and Customer Lifetime Value Modeling
Janet Ortiz,1973-05-05,London,,United Kingdom,Luxury Brand Strategy,Pricing Elasticity and Consumer Choice Architecture
Ashley Kim,1915-03-07,Melbourne,Victoria,Australia,Service Marketing,Service Quality and Customer Satisfaction Metrics
Scott Morales,1958-10-03,Cape Town,,South Africa,Product Marketing,Brand Personality Scale and Self-Congruity Theory
Nicholas Davis,1920-04-26,Sydney,New South Wales,Australia,Innovation Strategy,Empirical Generalizations in Marketing
Anna Moore,1984-06-20,Zurich,,Switzerland,Market Research,Service Quality and Customer Satisfaction Metrics
Jessica Walker,1925-01-02,Toronto,Ontario,Canada,Marketing Science,Innovation Diffusion and New Product Adoption Models
Carolyn Hall,1905-07-20,Singapore,,Singapore,Retail Strategy,Neuromarketing and Emotional Engagement Measurement
Donna Turner,1910-08-12,Cairo,,Egypt,Marketing Science,Service Quality and Customer Satisfaction Metrics
Katherine Baker,1935-05-21,Mumbai,Maharashtra,India,Market Research,Omnichannel Retail Strategy and Customer Experience
Donald Gomez,1981-10-28,Buenos Aires,,Argentina,Advertising Strategy,Innovation Diffusion and New Product Adoption Models
Robert Davis,1979-03-13,Toronto,Ontario,Canada,Marketing Analytics,Luxury Brand Scarcity and Prestige Positioning
Benjamin Scott,1900-07-08,Paris,,France,Luxury Brand Strategy,Luxury Brand Scarcity and Prestige Positioning
Michael Long,1969-06-19,São Paulo,São Paulo,Brazil,Digital Marketing Research,Luxury Brand Scarcity and Prestige Positioning
Patrick Jackson,1900-07-21,Milan,,Italy,Consumer Behavior,Empirical Generalizations in Marketing
Jeffrey Ross,1958-07-27,Paris,,France,Brand Strategy,Brand Equity Valuation Frameworks
Emily Ramirez,1919-02-26,Paris,,France,Brand Strategy,Social Media Influence and Word-of-Mouth Propagation
Katherine Myers,1908-04-06,Singapore,,Singapore,Advertising Strategy,Neuromarketing and Emotional Engagement Measurement
Karen Campbell,1910-02-15,Melbourne,Victoria,Australia,Digital Marketing Research,Pricing Elasticity and Consumer Choice Architecture
Helen Price,1902-12-28,Stockholm,,Sweden,Consumer Research,Cross-Cultural Consumer Behavior Analysis
Stephen Diaz,1933-09-19,Amsterdam,,Netherlands,Marketing Analytics,B2B Relationship Marketing Frameworks
Deborah Reyes,1922-06-17,Paris,,France,Digital Marketing Research,Luxury Brand Scarcity and Prestige Positioning
Debra Moore,1934-01-20,Stockholm,,Sweden,Consumer Behavior,Consumer Decision Journey Modelling
Ruth Nelson,1927-07-06,São Paulo,São Paulo,Brazil,Academic Marketing Research,Innovation Diffusion and New Product Adoption Models
James Howard,1962-03-04,Amsterdam,,Netherlands,Advertising Strategy,Omnichannel Retail Strategy and Customer Experience
Betty White,1956-05-21,Zurich,,Switzerland,Academic Marketing Research,Behavioral Nudges in Consumer Choice
Maria Ward,1916-07-09,Toronto,Ontario,Canada,Pricing Strategy,Omnichannel Retail Strategy and Customer Experience
Amy Jimenez,1905-11-27,London,,United Kingdom,Innovation Strategy,Digital Attribution and Customer Lifetime Value Modeling
Mark Perry,1971-03-19,Zurich,,Switzerland,Academic Marketing Research,Brand Equity Valuation Frameworks
Ronald Nelson,1913-10-06,Stockholm,,Sweden,Branding Consultancy,Behavioral Nudges in Consumer Choice
Mary Williams,1941-03-09,Buenos Aires,,Argentina,Pricing Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Sharon Rogers,1972-11-28,Cape Town,,South Africa,Service Marketing,Empirical Generalizations in Marketing
Mark Green,1952-04-08,Seoul,,South Korea,Market Research,Brand Personality Scale and Self-Congruity Theory
Eric Diaz,1913-11-21,Toronto,Ontario,Canada,Market Research,Luxury Brand Scarcity and Prestige Positioning
Sharon Long,1940-04-27,Sydney,New South Wales,Australia,Marketing Science,Consumer Decision Journey Modelling
Anna Baker,1954-01-16,Melbourne,Victoria,Australia,Brand Strategy,Luxury Brand Scarcity and Prestige Positioning
Margaret Evans,1984-05-05,Stockholm,,Sweden,Academic Marketing Research,Cross-Cultural Consumer Behavior Analysis
Kimberly Campbell,1932-05-09,São Paulo,São Paulo,Brazil,Brand Management,Neuromarketing and Emotional Engagement Measurement
Kathleen Powell,1964-08-13,Amsterdam,,Netherlands,Marketing Science,Innovation Diffusion and New Product Adoption Models
Linda Ward,1945-09-19,Buenos Aires,,Argentina,Marketing Science,Cross-Cultural Consumer Behavior Analysis
Kenneth Young,1950-04-23,Tokyo,,Japan,Brand Management,Digital Attribution and Customer Lifetime Value Modeling
Stephanie Mitchell,1966-06-12,London,,United Kingdom,Consumer Behavior,Luxury Brand Scarcity and Prestige Positioning
Elizabeth Smith,1971-07-06,Berlin,,Germany,Marketing Analytics,Brand Equity Valuation Frameworks
Nancy Anderson,1905-10-27,Mumbai,Maharashtra,India,Branding Consultancy,Innovation Diffusion and New Product Adoption Models
Sandra Reyes,1939-03-16,Milan,,Italy,Academic Marketing Research,Service Quality and Customer Satisfaction Metrics
Jerry Taylor,1960-06-17,Zurich,,Switzerland,Product Marketing,Behavioral Nudges in Consumer Choice
Thomas Rivera,1919-12-01,Tokyo,,Japan,Product Marketing,Brand Personality Scale and Self-Congruity Theory
Lisa Cruz,1908-08-05,Seoul,,South Korea,Market Research,Brand Equity Valuation Frameworks
Pamela White,1950-11-07,São Paulo,São Paulo,Brazil,Behavioral Economics,Social Media Influence and Word-of-Mouth Propagation
Margaret Martinez,1918-11-13,Zurich,,Switzerland,Pricing Strategy,Brand Equity Valuation Frameworks
Benjamin Perez,1975-08-08,Milan,,Italy,Digital Marketing Research,Social Media Influence and Word-of-Mouth Propagation
Eric Mitchell,1968-08-25,Zurich,,Switzerland,Pricing Strategy,Omnichannel Retail Strategy and Customer Experience
Brenda Phillips,1946-04-18,Singapore,,Singapore,Consumer Behavior,Empirical Generalizations in Marketing
Debra Scott,1935-02-05,Cape Town,,South Africa,Service Marketing,Innovation Diffusion and New Product Adoption Models
Benjamin Gray,1975-10-19,Amsterdam,,Netherlands,Market Research,Retail Shopper Psychology and In-Store Decision Dynamics
Robert Rogers,1928-09-10,London,,United Kingdom,Branding Consultancy,Luxury Brand Scarcity and Prestige Positioning
Rebecca Wilson,1913-02-19,São Paulo,São Paulo,Brazil,Behavioral Economics,Innovation Diffusion and New Product Adoption Models
John Gray,1969-11-21,London,,United Kingdom,Advertising Strategy,Neuromarketing and Emotional Engagement Measurement
Steven Long,1939-02-17,São Paulo,São Paulo,Brazil,Digital Marketing Research,Neuromarketing and Emotional Engagement Measurement
Alexander Brooks,1984-01-25,Berlin,,Germany,Retail Strategy,Consumer Decision Journey Modelling
Larry Jenkins,1944-07-09,Berlin,,Germany,Digital Marketing Research,Consumer Decision Journey Modelling
Nicholas Cooper,1966-12-12,Amsterdam,,Netherlands,Market Research,Omnichannel Retail Strategy and Customer Experience
George Cox,1947-10-27,Sydney,New South Wales,Australia,Consumer Research,Service Quality and Customer Satisfaction Metrics
Brandon Torres,1955-12-05,Tokyo,,Japan,Brand Management,Cross-Cultural Consumer Behavior Analysis
Barbara Ortiz,1964-04-19,Cairo,,Egypt,Marketing Analytics,Innovation Diffusion and New Product Adoption Models
Stephen Rivera,1910-01-17,Berlin,,Germany,Marketing Strategy,Service Quality and Customer Satisfaction Metrics
Jonathan Gomez,1955-12-06,New York City,New York,United States,Brand Management,Brand Equity Valuation Frameworks
Tyler Bailey,1929-08-24,Toronto,Ontario,Canada,Retail Strategy,Social Media Influence and Word-of-Mouth Propagation
Michael Lewis,1926-06-11,Cairo,,Egypt,Branding Consultancy,Consumer Decision Journey Modelling
William Morris,1914-05-10,Paris,,France,Marketing Strategy,B2B Relationship Marketing Frameworks
Stephen Hughes,1905-04-18,São Paulo,São Paulo,Brazil,Product Marketing,Social Media Influence and Word-of-Mouth Propagation
Rebecca Morris,1946-04-17,Milan,,Italy,Luxury Brand Strategy,Digital Attribution and Customer Lifetime Value Modeling
Emily Bailey,1936-09-17,Milan,,Italy,Consumer Behavior,Social Media Influence and Word-of-Mouth Propagation
Anna Parker,1950-03-10,London,,United Kingdom,Pricing Strategy,Neuromarketing and Emotional Engagement Measurement
Helen Carter,1920-12-11,Tokyo,,Japan,Brand Management,Neuromarketing and Emotional Engagement Measurement
James Patel,1962-08-03,Milan,,Italy,Service Marketing,Consumer Decision Journey Modelling
Mary Martin,1981-08-22,Cape Town,,South Africa,Marketing Strategy,Retail Shopper Psychology and In-Store Decision Dynamics
Helen Garcia,1927-05-17,Paris,,France,Brand Management,Digital Attribution and Customer Lifetime Value Modeling
Joshua Gutierrez,1910-06-13,Amsterdam,,Netherlands,Digital Marketing Research,Digital Attribution and Customer Lifetime Value Modeling
Kevin Martinez,1904-01-24,Buenos Aires,,Argentina,Market Research,Behavioral Nudges in Consumer Choice
Matthew Reed,1916-03-19,Stockholm,,Sweden,Digital Marketing Research,Innovation Diffusion and New Product Adoption Models
Patricia Foster,1969-07-26,Sydney,New South Wales,Australia,Advertising Strategy,Luxury Brand Scarcity and Prestige Positioning
Eric Cook,1922-11-11,Cape Town,,South Africa,Marketing Analytics,Brand Equity Valuation Frameworks
Mary Parker,1977-11-18,Cape Town,,South Africa,Service Marketing,Omnichannel Retail Strategy and Customer Experience
Michael Davis,1934-09-08,Buenos Aires,,Argentina,Pricing Strategy,Brand Equity Valuation Frameworks
Kathleen Jimenez,1971-03-06,Toronto,Ontario,Canada,Marketing Strategy,Social Media Influence and Word-of-Mouth Propagation
Jack Murphy,1930-07-16,Singapore,,Singapore,Retail Strategy,Neuromarketing and Emotional Engagement Measurement
Linda Wilson,1941-05-16,Melbourne,Victoria,Australia,Consumer Behavior,Pricing Elasticity and Consumer Choice Architecture
